Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
SSA;BG;212-08-01;;;Actions culturelles et mise en valeur du patrimoine;Act.Cultu.&MEVal.Patrimoi
SSA;BG;212-08-02;;;Gestion et communication des archives historiques de la défense;Gest&CommArchivesHistoDéf
ACT;BG;212-10;;;Restructurations;
ACT;BG;212-11;;;Pilotage, soutien et communication;Pilotage, Soutien & Comm.
ACT;BG;212-50;;;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";Recherche exploitation/RH
SSA;BG;212-50-01;;;Renseignement extérieur;Rens Sécu France /DGSE
SSA;BG;212-50-02;;;Renseignement de sécurité et de défense;Rens Sécu France/DPSD
ACT;BG;212-51;;;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";Prospective de défense/RH
SSA;BG;212-51-01;;;DGRIS / Administration  centrale;DGRIS/AC
ACT;BG;212-52;;;Relations internationales;
SSA;BG;212-52-01;;;DGA / Soutien aux exportations;DGA/soutex
SSA;BG;212-52-02;;;DGRIS / Diplomatie de défense;DGRIS/Diplo. défense
ACT;BG;212-55;;;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Prép forces terr/RH
SSA;BG;212-55-01;;;Ressources humaines des forces terrestres;Prép AT/EMAT
ACT;BG;212-57;;;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";Prép forces aériennes/RH
SSA;BG;212-57-01;;;Ressources humaines des forces aériennes;Prép AA/EMAA
SSA;BG;212-57-02;;;Service industriel aéronautique(SIAé);Prép AA/SIAé
ACT;BG;212-59;;;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Surcoûts  opérations/RH
SSA;BG;212-59-01;;;Surcoûts liés aux opérations extérieures;Surcoûts/OPEX/CPCO
SSA;BG;212-59-02;;;Surcoûts liés aux opérations intérieures;Surcoûts/OPIN/CPCO
ACT;BG;212-60;;;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";Pol immobil/SID/SGA/RH
ACT;BG;212-63;;;Restructurations - RH;Restructurations/RH
SSA;BG;212-63-01;;;Restructurations Personnels civils;Restructurations/PC
SSA;BG;212-63-02;;;Restructurations Personnels militaires;Restructurations/PM
ACT;BG;212-64;;;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;
SSA;BG;212-64-01;;;Personnel du SGA employeur;Pil-Sout-com/Pers SGA
SSA;BG;212-64-07;;;Personnel de l'action sociale;Pil-Sout-commPers ASA/SGA
SSA;BG;212-64-08;;;Personnel de l'agence de reconversion de la Défense;Pil-Sout-com/Pers ARD/SGA
ACT;BG;212-65;;;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Liens entre la Nation et son armée""";Journée déf /DSN/SGA/RH
ACT;BG;212-67;;;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;
SSA;BG;212-67-05;;;Gendarmerie de la Sureté de l'Armement Nucléaire;GSAN
SSA;BG;212-67-01;;;Sous-Direction des Bureau des Cabinets - Cabinet du Ministre de la Défense - Cabinet du Secrétaire d'Etat aux anciens combattants - Bureau des Officiers Généraux;SDBC - DEFCAB
SSA;BG;212-67-02;;;Contrôle général des armées;CGA
SSA;BG;212-67-03;;;Direction Générale du Numérique et des systèmes d'information et de communication;DGNUM
SSA;BG;212-67-04;;;Délégation à l'Information et la Communication de la Défense;DICOD
SSA;BG;212-67-06;;;Contrôle Budgétaire et Comptable Ministériel défense - Agence Comptable des Services Industriels de l'Armement;CBCM/ACSIA
SSA;BG;212-67-07;;;Direction de la Protection des Installations, moyens et activités de la Défense;DPID
PGM;BG;178;DA;70;Préparation et emploi des forces;Prép&Emploi des forces
ACT;BG;178-05;;;Logistique et soutien interarmées;
SSA;BG;178-05-80;;;Fonction santé;
SSA;BG;178-05-82;;;Soutien des forces par les bases de défense;
SSA;BG;178-05-84;;;Service interarmées des munitions;
SSA;BG;178-05-85;;;Service du commissariat aux armées;
SSA;BG;178-05-83;;;Soutiens complémentaires;
SSA;BG;178-05-11;;;Infrastructures de santé;Infrastructures de santé
SSA;BG;178-05-89;;;Infrastructure des soutiens;Infrast. des soutiens
ACT;BG;178-03;;;Préparation des forces navales;
SSA;BG;178-03-01;;;Commandement et activités des forces navales;
SSA;BG;178-03-05;;;Ressources humaines des forces navales;
SSA;BG;178-03-07;;;Maintien en condition opérationnelle du matériel des forces navales;
SSA;BG;178-03-08;;;Environnement opérationnel des forces navales;
SSA;BG;178-03-11;;;Infrastructures maritimes;Infrastructures maritimes
ACT;BG;178-02;;;Préparation des forces terrestres;
SSA;BG;178-02-01;;;Commandement et activités des forces terrestres;
SSA;BG;178-02-05;;;Ressources humaines des forces terrestres;
SSA;BG;178-02-07;;;Maintien en condition opérationnelle du matériel des forces terrestres;
SSA;BG;178-02-08;;;Environnement opérationnel des forces terrestres;
SSA;BG;178-02-11;;;Infrastructures terrestres;Infrast. terrestres
ACT;BG;178-04;;;Préparation des forces aériennes;
SSA;BG;178-04-02;;;Commandement et activités centralisées des forces aériennes;
SSA;BG;178-04-03;;;Activités des forces aériennes;
SSA;BG;178-04-04;;;Activités des forces aériennes stratégiques;
SSA;BG;178-04-05;;;Ressources humaines des forces aériennes;
SSA;BG;178-04-06;;;Entretien et équipements des forces aériennes;
SSA;BG;178-04-09;;;Service industriel aéronautique (SIAé);
SSA;BG;178-04-11;;;Infrastructures aériennes;Infrastructures aériennes
SSA;BG;178-04-12;;;Activités spatiales;Activités spatiales
ACT;BG;178-06;;;Surcoûts liés aux opérations extérieures;
ACT;BG;178-07;;;Surcoûts liés aux opérations intérieures;
ACT;BG;178-01;;;Planification  des moyens et conduite des opérations;
SSA;BG;178-01-10;;;Emploi des forces;
SSA;BG;178-01-11;;;Renseignement d'intérêt militaire;
SSA;BG;178-01-14;;;Systèmes d'information et de communication;
SSA;BG;178-01-21;;;Infrastructures SIC;Infrastructures SIC
PGM;BG;144;DA;70;Environnement et prospective de la politique de défense;Envir.Prospec.Pol.Défense
ACT;BG;144-03;;;Recherche et exploitation du renseignement intéressant la sécurité de la France;
SSA;BG;144-03-31;;;Renseignement extérieur;
SSA;BG;144-03-32;;;Renseignement de sécurité de défense;
ACT;BG;144-07;;;Prospective de défense;
SSA;BG;144-07-01;;;Analyse stratégique;
SSA;BG;144-07-02;;;Prospective des systèmes de forces;
SSA;BG;144-07-03;;;Etudes amont;
SSA;BG;144-07-04;;;Gestion des moyens et subventions;
ACT;BG;144-08;;;Relations internationales et diplomatie de défense;
MSN;BG;CA;;;Conseil et contrôle de l'État;ConseilContÉtat
PGM;BG;126;CA;12;Conseil économique, social et environnemental;Conseil économique, socia
ACT;BG;126-01;;;Représentation des activités économiques et sociales;Représ. act. éco. & soc.
SSA;BG;126-01-01;;;Personnel;
SSA;BG;126-01-02;;;Fonctionnement;
ACT;BG;126-02;;;Fonctionnement de l'institution;Fonct. de l'institution
SSA;BG;126-02-01;;;Personnel;
SSA;BG;126-02-02;;;Fonctionnement;
SSA;BG;126-02-03;;;Investissement;
ACT;BG;126-03;;;Communication et international;Comm. et international
SSA;BG;126-03-01;;;Personnel;
SSA;BG;126-03-02;;;Fonctionnement;
PGM;BG;164;CA;12;Cour des comptes et autres juridictions financières;Cour des comptes
ACT;BG;164-27;;;Pilotage et soutien des juridictions financières;Pilotage sout jurid. fin.
ACT;BG;164-24;;;Evaluation des politiques publiques;Eval. politiques publiq.
ACT;BG;164-21;;;Examen des comptes publics;Examen comptes publics
ACT;BG;164-22;;;Contrôle des finances publiques;Contrôle finances publiq.
ACT;BG;164-23;;;Contrôle des gestions publiques;Contrôle gestions publiq.
ACT;BG;164-25;;;Information des citoyens;
ACT;BG;164-26;;;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;Resp compt & gest publics
ACT;BG;164-99;;;Personnels à reventiler;
PGM;BG;165;CA;12;Conseil d'État et autres juridictions administratives;Conseil d'État et autres
ACT;BG;165-06;;;Soutien;
SSA;BG;165-06-01;;;Frais de justice;
SSA;BG;165-06-02;;;Soutien (hors frais de justice);Soutien hs frais de just.
ACT;BG;165-01;;;Fonction juridictionnelle : Conseil d'État;Fonction jurid. : CE
ACT;BG;165-05;;;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;Fonct. étu.exper.serv.adm
ACT;BG;165-07;;;Cour nationale du droit d'asile;Cour nat. droit d'asile
ACT;BG;165-99;;;Dépenses de personnels du programme à reventiler;
ACT;BG;165-04;;;Fonction consultative;
ACT;BG;165-02;;;Fonction juridictionnelle : Cours administratives d'appel;Fonction jurid. : CAA
ACT;BG;165-03;;;Fonction juridictionnelle : Tribunaux administratifs;Fonction jurid. : TA
PGM;BG;340;CA;12;Haut Conseil des finances publiques;HCFP
ACT;BG;340-01;;;Haut Conseil des finances publiques;HCFP
MSN;CAS;YD;;;Pensions;Pensions
PGM;CAS;741;YD;07;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;PensCivilesMilit&ATI
ACT;CAS;741-01;;;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;Pensions civiles
SSA;CAS;741-01-04;;;Pensions France-Télécom;
SSA;CAS;741-01-05;;;Pensions d'anciens fonctionnaires mahorais non intégrés dans la fonction publique d'Etat;Pensions stock Mahorais
SSA;CAS;741-01-02;;;Pensions PTT avant le 1er janvier 1992;Pensions PTT
SSA;CAS;741-01-01;;;Pensions hors PTT, la Poste et France-Télécom;Pensions hors PTT, LP, FT
SSA;CAS;741-01-03;;;Pensions de la Poste;
SSA;CAS;741-01-06;;;Pensions uniques d'anciens fonctionnaires mahorais intégrés dans la fonction publique d'Etat;Pensions uniques Mahorais
ACT;CAS;741-02;;;Militaires relevant du code des pensions civiles et militaires de retraite;Pensions militaires
ACT;CAS;741-03;;;Allocations temporaires d'invalidité;ATI
SSA;CAS;741-03-01;;;Pensions hors PTT, la Poste et France-Télécom;ATI hors PTT, LP, FT
SSA;CAS;741-03-02;;;Pensions PTT avant le 1er janvier 1992;ATI PTT
SSA;CAS;741-03-03;;;Pensions de la Poste;ATI LP
SSA;CAS;741-03-04;;;Pensions France-Télécom;ATI FT 
PGM;CAS;742;YD;07;Ouvriers des établissements industriels de l'État;OuvriersEtabIndusÉtat
ACT;CAS;742-01;;;Prestations vieillesse et invalidité;
ACT;CAS;742-03;;;Autres dépenses spécifiques;
ACT;CAS;742-04;;;Gestion du régime;
ACT;CAS;742-05;;;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);
PGM;CAS;743;YD;07;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;PensMilit&invaVictGuerre
ACT;CAS;743-04;;;Allocations de reconnaissance des anciens supplétifs;Alloc. anciens supplétifs
ACT;CAS;743-01;;;Reconnaissance de la Nation;
SSA;CAS;743-01-01;;;Retraite du combattant;
SSA;CAS;743-01-02;;;Légion d'honneur;
SSA;CAS;743-01-03;;;Médaille militaire;
ACT;CAS;743-02;;;Réparation;
SSA;CAS;743-02-01;;;Pensions militaires d'invalidité;PMI
SSA;CAS;743-02-02;;;Allocations viagères en faveur de certains nationaux algériens;Alloc Nationaux algériens
SSA;CAS;743-02-03;;;Indemnisation de certains français musulmans victimes de sévices corporels en Algérie;Indem Sévice corp Algérie
SSA;CAS;743-02-04;;;Allocations spéciales aux aveugles enrôlés dans la Résistance;Alloc aveugles résistance
ACT;CAS;743-03;;;Pensions d'Alsace-Lorraine;Pensions Alsace Lorraine
ACT;CAS;743-05;;;Pensions des anciens agents du chemin de fer franco-éthiopien;Pensions CRCFE
ACT;CAS;743-06;;;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;Pensions RISP
ACT;CAS;743-07;;;Pensions de l'ORTF;Pensions de l'ORTF
SSA;CAS;743-07-01;;;Rentes accicdents du travail;Rentes accident travail
SSA;CAS;743-07-02;;;Allocations surcomplémentaires de retraite;Allc. Surcompl. Retraite
MSN;BG;CB;;;Culture;Culture
PGM;BG;175;CB;02;Patrimoines;Patrimoines
ACT;BG;175-04;;;Patrimoine archivistique et célébrations nationales;Pat archVQ et céléb° N
SSA;BG;175-04-03;;;Recherche, connaissance, conservation, valorisation et promotion du patrimoine archivistique (CPER);Pat archVQ - valo CPER
SSA;BG;175-04-04;;;Recherche, connaissance, conservation, valorisation et promotion du patrimoine archivistique (hors CPER);Pat archVQ - valo HCPER
SSA;BG;175-04-10;;;Archives nationales;
SSA;BG;175-04-11;;;Archives territoriales - Construction, aménagement et entretien;ArchV Terr Constr° & ent
ACT;BG;175-03;;;Patrimoine des musées de France;Pat musées de France
SSA;BG;175-03-02;;;Musées de France - Construction, aménagement et entretien (CPER);MF - const amé entr CPER
SSA;BG;175-03-03;;;Musées de France - Construction, aménagement et entretien (hors CPER);MF - const amé entr HCPER
SSA;BG;175-03-05;;;Recherche, connaissance, conservation, valorisation et promotion des collections;Conserva° Promo° Collect°
SSA;BG;175-03-20;;;Musées et établissements nationaux;Musées & Ets Nat
ACT;BG;175-02;;;Architecture et espaces protégés;
SSA;BG;175-02-02;;;Travaux et études en espaces protégés (sites patrimoniaux remarquables, abords, patrimoine mondial);Trav & ét esp protégés
SSA;BG;175-02-04;;;Promotion, diffusion et sensibilisation à l'architecture;Promo diff & sensi° archi
ACT;BG;175-01;;;Monuments Historiques et patrimoine monumental;
SSA;BG;175-01-01;;;Fêtes nationales et cérémonies publiques;Fêtes N et cérémonies
SSA;BG;175-01-03;;;Monuments historiques appartenant à l'Etat - entretien;MH Etat - entretien
SSA;BG;175-01-06;;;Monuments historiques n'appartenant pas à l'Etat - entretien (hors CPER);MH non Etat - entr. HCPER
SSA;BG;175-01-04;;;Monuments historiques appartenant à l'Etat - restauration (hors CPER);MH Etat - restaur° HCPER
SSA;BG;175-01-07;;;Monuments historiques n'appartenant pas à l'Etat - restauration (CPER);MH non Etat - rest° CPER
SSA;BG;175-01-08;;;Monuments historiques n'appartenant pas à l'Etat - restauration (hors CPER);MH non Etat - rest° HCPER
SSA;BG;175-01-09;;;Promotion et valorisation des monuments historiques et du patrimoine monumental (CPER);Prom valo MH pat mo CPER
SSA;BG;175-01-10;;;Promotion et valorisation des monuments historiques et du patrimoine monumental (hors CPER);Prom valo MH pat mo HCPER
SSA;BG;175-01-14;;;Centre des monuments nationaux (CMN);CMN
SSA;BG;175-01-20;;;Monuments historiques appartenant à l'Etat - restauration (CPER);MH Etat - restaur° CPER
SSA;BG;175-01-22;;;Etablissements nationaux;
ACT;BG;175-08;;;Acquisition et enrichissement des collections publiques;Acquisi° et enrich collec
SSA;BG;175-08-02;;;Enrichissement des collections publiques pour les musées;Enrich coll pubQ musées
SSA;BG;175-08-05;;;Enrichissement des collections publiques pour les archives;Enrich coll pubQ archives
SSA;BG;175-08-06;;;Enrichissement des collections publiques : patrimoine monumental et architectural;Enrich col pubQ Pat M & A
SSA;BG;175-08-07;;;Fonds du patrimoine;
ACT;BG;175-09;;;Patrimoine archéologique;
SSA;BG;175-09-04;;;Promotion et diffusion du patrimoine archéologique (CPER);Prom diff Pat archéo CPER
SSA;BG;175-09-02;;;Promotion et diffusion du patrimoine archéologique (hors CPER);Prom dif Pat archéo HCPER
SSA;BG;175-09-01;;;Recherche, connaissance et protection du patrimoine archéologique (Hors CPER);Rech pro Pat archéo HCPER
SSA;BG;175-09-03;;;Recherche, connaissance et protection du patrimoine archéologique (CPER);Rech prot Pat archéo CPER
SSA;BG;175-09-05;;;Financement des opérations d'archéologie préventive;Archéologie préventive
PGM;BG;131;CB;02;Création;Création
ACT;BG;131-02;;;Soutien à la création, à la production et à la diffusion des arts visuels;Sout créa° prod & diff AV
SSA;BG;131-02-02;;;Acquisitions et commandes publiques dans le secteur des arts visuels;Acq° & comm publQ AV
SSA;BG;131-02-01;;;Arts visuels (CPER);
SSA;BG;131-02-04;;;Structuration des professions et de l'économie du secteur des arts visuels;Struct° prof° et éco AV
SSA;BG;131-02-06;;;Aides à la création et à la diffusion en matière d'arts visuels;Aides créa et diff AV
SSA;BG;131-02-08;;;Soutien aux institutions et lieux de création et de diffusion en matière d'arts visuels;Sout. inst lieux AV
SSA;BG;131-02-09;;;Soutien aux manufactures et métiers d'art;Sout. manuf mét art
ACT;BG;131-01;;;Soutien à la création, à la production et à la diffusion du spectacle vivant;Soutien créa prod diff SV
SSA;BG;131-01-01;;;Spectacle vivant (CPER);
SSA;BG;131-01-04;;;Soutien aux artistes et équipes artistiques;Soutien artT et éq artQ
SSA;BG;131-01-08;;;Recherche, ressource et valorisation du patrimoine du spectacle vivant;Rech, ress et valo pat SV
SSA;BG;131-01-02;;;Aide à la création et aux nouvelles écritures;Aide créa° & nvelles écri
SSA;BG;131-01-25;;;Structuration des professions et de l'économie du secteur du spectacle vivant;Struct° prof° et éco SV
SSA;BG;131-01-23;;;Soutien aux institutions et lieux de création et de diffusion en matière de spectacle vivant;Soutien inst lieux SV
SSA;BG;131-01-24;;;Festivals et résidences;
ACT;BG;131-06;;;Soutien à l'emploi et structurations des professions;Soutien emploi
SSA;BG;131-06-04;;;Compensation CSG artistes auteurs;Comp.CSG artistes
SSA;BG;131-06-01;;;Soutien à l'emploi et accompagnement professionnel des artistes;Acc.Prof.artistes
SSA;BG;131-06-02;;;Structuration des professions et de l'économie du secteur du spectacle vivant;Prof.spec.vivant
SSA;BG;131-06-03;;;Structuration des professions de l'économie du secteur des arts visuels;Prof.arts.visuels
PGM;BG;224;CB;02;Transmission des savoirs et démocratisation de la culture;TranSavoirs&DemocCulture
ACT;BG;224-02;;;Soutien à la démocratisation et à l'éducation artistique et culturelle;Soutien à la démo & EAC
SSA;BG;224-02-23;;;Politiques territoires et cohésion sociale (dominante adultes);
SSA;BG;224-02-25;;;Soutien à la transition et à l'innovation numériques;
SSA;BG;224-02-27;;;Sécurisation des sites et évènements culturels;sécurisation sites
SSA;BG;224-02-21;;;Politique d'éducation artistique et culturelle (dominante jeunes);
SSA;BG;224-02-22;;;Politiques en faveur des publics en situation spécifique  (dominante adultes);
SSA;BG;224-02-24;;;Soutien aux pratiques amateurs;
SSA;BG;224-02-26;;;Pass Culture Jeunes;Pass Culture Jeunes
ACT;BG;224-01;;;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;Soutien Ets ens sup
SSA;BG;224-01-14;;;Enseignement supérieur, insertion et formation professionnelle en matière d'arts plastiques (CPER);Ens sup form° pro AP CPER
SSA;BG;224-01-23;;;Enseignement supérieur, insertion et formation professionnelle en matière d'art plastique (hors CPER);Ens sup frm° pro AP HCPER
SSA;BG;224-01-19;;;Bourses et aides;
SSA;BG;224-01-07;;;Enseignement supérieur, insertion et formation professionnelle en matière de spectacle vivant (CPER);Ens sup form° pro SV CPER
SSA;BG;224-01-21;;;Enseignement supérieur, insertion et formation professionnelle en matière de patrimoine;Ens sup form° pro Pat
SSA;BG;224-01-22;;;Enseignement supérieur, insertion et formation professionnelle en matière de spectacle vivant (hors CPER);Ens sup frm° pro SV HCPER
SSA;BG;224-01-24;;;Soutien aux autres établissements d'enseignement supérieur;Soutien autr Ets ens sup
ACT;BG;224-07;;;Fonctions de soutien du ministère;Fonct° soutien ministère
SSA;BG;224-07-01;;;Fonctions immobilières;
SSA;BG;224-07-06;;;Fonction formation;
SSA;BG;224-07-07;;;Fonction communication;
SSA;BG;224-07-08;;;Etudes et prospective;
SSA;BG;224-07-10;;;Fonctions logistiques;
SSA;BG;224-07-11;;;Action sociale;
SSA;BG;224-07-12;;;Dépenses de personnel, gratification des stagiaires et remboursement de mise à disposition de personnel;Dép personnel, stagR, MAD
SSA;BG;224-07-13;;;Fonction informatique;
ACT;BG;224-06;;;Action culturelle internationale;Action culturelle Int
SSA;BG;224-06-02;;;Promotion de la création et des industries culturelles françaises à l'étranger;Créa & ind cul F à l'étra
SSA;BG;224-06-03;;;Coopération technique culturelle, communautaire et multilatérale;Coop tech cult commR mult
SSA;BG;224-06-04;;;Diffusion des cultures étrangères et accueil des professionnels et des artistes étrangers;Diff cult étran & accueil
ACT;BG;224-09;;;Langue française et langues de France;
SSA;BG;224-09-01;;;Politique linguistique;
MSN;BG;AD;;;Aide publique au développement;AidePubliquDev
PGM;BG;209;AD;01;Solidarité à l'égard des pays en développement;Sol.Pays en Dev
ACT;BG;209-05;;;Coopération multilatérale;Coopération multilatérale
ACT;BG;209-02;;;Coopération bilatérale;Coopération bilatérale
ACT;BG;209-08;;;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";Dép.pers.solidar.pays dév
ACT;BG;209-07;;;Coopération communautaire;Coopération communautaire
ACT;BG;209-09;;;Actions de co-développement;Co-développement
PGM;BG;110;AD;21;Aide économique et financière au développement;AideEcoFinDéveloppement
ACT;BG;110-02;;;Aide économique et financière bilatérale;
SSA;BG;110-02-10;;;Rémunération de l'Agence française de développement (AFD);Rémunération AFD
SSA;BG;110-02-12;;;Agence française de développement (AFD) (DOM-TOM);AFD OutreMer
SSA;BG;110-02-11;;;Agence française de développement (AFD) bonifications d'intérêts;AFD Bonifs EE
SSA;BG;110-02-15;;;Evaluation expost relevant de l'Agence française de développement (AFD);Evaluations UEAD
SSA;BG;110-02-14;;;Fonds français pour l'environnement mondial;FFEM Climat Envi.
SSA;BG;110-02-20;;;EXPERTISE FRANCE;Expertise France
SSA;BG;110-02-18;;;Evaluations préalables et appui au montage des projets;Evaluation avant projets
SSA;BG;110-02-19;;;Dons aux Etats étrangers;
SSA;BG;110-02-17;;;Evaluations expost des prêts RPE;Evaluation.expost.prêtRPE
SSA;BG;110-02-21;;;Aide au commerce des pays en développement;PRCC Aide commerce
SSA;BG;110-02-22;;;Rémunérations liées aux opérations de prêts RPE (Natixis et autres);Remu. Natexis et autres
SSA;BG;110-02-16;;;Aide budgétaire à destination des pays étrangers;ABG Etats Etrangers
ACT;BG;110-03;;;Traitement de la dette des pays pauvres;
SSA;BG;110-03-10;;;AFD - Traitement de la dette des pays pauvres - Indemnisation au titre des annulations de dettes (Dakar I et II, Club de Paris);AFD Traitement Dette
SSA;BG;110-03-11;;;AFD - indemnisation au titre des réductions de taux d'intérêt des prêts;
SSA;BG;110-03-12;;;Fonds multilatéraux de soutien aux pays pauvres très endettés;Fonds multi pays endet
SSA;BG;110-03-13;;;Compensation des annulations de dettes multilatérales;Compens annul dette multi
ACT;BG;110-01;;;Aide économique et financière multilatérale;
SSA;BG;110-01-10;;;Association internationale de développement;AID
SSA;BG;110-01-25;;;Banque interaméricaine de développement;BID Bq Interamer Dvmpt
SSA;BG;110-01-13;;;Groupe de la banque mondiale;Groupe BMondiale
SSA;BG;110-01-18;;;Fonds africain de développement;FAD ou BAfD
SSA;BG;110-01-24;;;Fonds asiatique de développement;FAsD ou BAsD
SSA;BG;110-01-33;;;Fonds de Doha;
SSA;BG;110-01-34;;;Agriculture (FIDA);
SSA;BG;110-01-16;;;Coopération technique;
SSA;BG;110-01-35;;;Santé (FMS);
SSA;BG;110-01-29;;;Fonds de coopération pour la sûreté nucléaire et la non prolifération;Fonds Sureté Nucléaire
SSA;BG;110-01-36;;;Environnement et changement climatique (FEM et autres fonds);Envir. Climat
SSA;BG;110-01-39;;;Bonifications des prêts à des institutions ou fonds internationaux;Bonifications prêts
SSA;BG;110-01-38;;;Initiatives dans le cadre  de la présidence du G20;Initiatives G7 G20
MSN;BG;AB;;;Administration générale et territoriale de l'État;Adm.gale&territori.
PGM;BG;232;AB;09;Vie politique, cultuelle et associative;ViePol.Culte&Ass.
ACT;BG;232-05;;;Vie associative;
ACT;BG;232-03;;;Commission nationale des comptes de campagne et des financements politiques;
ACT;BG;232-01;;;Financement des partis;
ACT;BG;232-02;;;Organisation des élections;
SSA;BG;232-02-01;;;Elections présidentielles;
SSA;BG;232-02-02;;;Elections législatives générales;
SSA;BG;232-02-03;;;Elections des représentants au Parlement européen;
SSA;BG;232-02-04;;;Elections sénatoriales générales;
SSA;BG;232-02-05;;;Elections départementales générales;
SSA;BG;232-02-06;;;Elections municipales générales;
SSA;BG;232-02-07;;;Référendums;
SSA;BG;232-02-09;;;Elections régionales générales et assemblée de Corse;
SSA;BG;232-02-10;;;Elections partielles (législatives, sénatoriales, départementales, municipales, régionales, territoriales et provinciales);
SSA;BG;232-02-11;;;Elections : dépenses communes;
SSA;BG;232-02-12;;;Systèmes d'information et de communication;
SSA;BG;232-02-13;;;Elections territoriales en outre-mer;
ACT;BG;232-04;;;Cultes;
SSA;BG;232-04-01;;;Immobilier;
SSA;BG;232-04-02;;;Soutien;
ACT;BG;232-99;;;Dépenses de personnel du programme à reventiler;
PGM;BG;216;AB;09;Conduite et pilotage des politiques de l'intérieur;Cond.Pil.Interieur
ACT;BG;216-01;;;État-major et services centraux;
SSA;BG;216-01-01;;;Cabinets des ministres et bureaux des cabinets des ministres;
SSA;BG;216-01-02;;;Cabinet du secrétariat général et des services rattachés;
SSA;BG;216-01-03;;;Délégation à l'information et à la communication;
SSA;BG;216-01-05;;;Inspection générale de l'administration;
SSA;BG;216-01-07;;;Conseil national des activités privées de sécurité (CNAPS);
SSA;BG;216-01-09;;;Direction des systèmes d'information et de communication : personnel;
SSA;BG;216-01-10;;;Services zonaux des systèmes d'information et de communication : soutien;
SSA;BG;216-01-11;;;Gestion des ressources humaines;
SSA;BG;216-01-12;;;Direction générale des collectivités locales;
SSA;BG;216-01-14;;;Comité des finances locales;
SSA;BG;216-01-16;;;Cultes;
SSA;BG;216-01-17;;;Direction générale des outre-mer;
SSA;BG;216-01-15;;;Fonctionnement général des services;
SSA;BG;216-01-08;;;Autres études et recherches;
ACT;BG;216-06;;;Affaires juridiques et contentieuses;
SSA;BG;216-06-01;;;Refus de concours de la force publique : règlements amiables;
SSA;BG;216-06-02;;;Refus de concours de la force publique : contentieux;
SSA;BG;216-06-03;;;Attroupements : règlements amiables;
SSA;BG;216-06-04;;;Attroupements : contentieux;
SSA;BG;216-06-05;;;Autres mises en cause de l'Etat : règlements amiables;
SSA;BG;216-06-06;;;Autres mises en cause de l'Etat : contentieux;
SSA;BG;216-06-07;;;Accidents de la circulation : règlements amiables;
SSA;BG;216-06-08;;;Accidents de la circulation : contentieux;
SSA;BG;216-06-09;;;Protection juridique;
SSA;BG;216-06-10;;;Litiges intervenant dans le cadre du droit des étrangers : règlements amiables;
SSA;BG;216-06-11;;;Litiges intervenant dans le cadre du droit des étrangers : règlements contentieux;
ACT;BG;216-05;;;Affaires immobilières;
SSA;BG;216-05-01;;;Immobilier de l'administration centrale : fonctionnement courant;
SSA;BG;216-05-06;;;Opérations d'investissement;
SSA;BG;216-05-11;;;Immobilier administration centrale et déconcentrée;
SSA;BG;216-05-10;;;Action sociale : immobilier;
ACT;BG;216-09;;;Sécurité et éducation routières;
SSA;BG;216-09-01;;;Délégation à la sécurité routière;DSR
ACT;BG;216-04;;;Action sociale et formation;
SSA;BG;216-04-01;;;Action sociale : offre de services collectifs;
SSA;BG;216-04-02;;;Formation et recrutement;
SSA;BG;216-04-07;;;Action sociale : partenariat social;
SSA;BG;216-04-08;;;Action sociale : insertion des personnes handicapées;
SSA;BG;216-04-09;;;Action sociale : professionnels de soutien;
SSA;BG;216-04-10;;;Action sociale : missions transversales;
ACT;BG;216-03;;;Système d'information et de communication;
SSA;BG;216-03-05;;;Maintien en condition opérationnelle des systèmes d'information et de communication (SIC);
SSA;BG;216-03-08;;;Système d'information et de communication : grands projets;Syst inf gds projets
ACT;BG;216-08;;;Immigration, asile et intégration;
SSA;BG;216-08-01;;;Direction générale des étrangers en France;
ACT;BG;216-10;;;Fonds interministériel de prévention de la délinquance;
SSA;BG;216-10-01;;;Actions en faveur des jeunes;
SSA;BG;216-10-02;;;Prévention des violences faites aux femmes, des violences intrafamiliales et l'aide aux victimes;
