beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"Roule Ma Frite","Chez Cavaud
17350 SAINT SAVINIEN SUR CHARENTE","Achat d'un véhicule utilitaire pour la collecte d'huile",1000.00,QUÉRÉ,Catherine,Charente-Maritime,"Socialiste, républicain et citoyen",163-01,PA331014
"Rouleurs de Belles Mécaniques Andrésiennes","3 allée de Savoie
78570 Andresy",Fonctionnement,1000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",224-02,PA345897
Roulez-Mob'ilité,"84200 Carpentras",Fonctionnement,5000.00,AUBERT,Julien,Vaucluse,"Les Républicains",304-17,PA609726
Roumegoux,81120,"rénovation de la toiture de l'église de Saint-Jean de Premiac",5000.00,FOLLIOT,Philippe,Tarn,"Union des démocrates et indépendants",122-01,PA267673
Roumegoux,Roumegoux,"plateforme intergénérationnelle (terrain pétanque et aire de jeux)",4000.00,CALMETTE,Alain,Cantal,"Socialiste, républicain et citoyen",122-01,PA605643
ROUSSENT,,"la mise en accessibilité de la mairie",2000.00,FASQUELLE,Daniel,Pas-de-Calais,"Les Républicains",122-01,PA334149
ROUSSILLON,,"la vidéosurveillance du carrefour des Cités",10000.00,BARBIER,Jean-Pierre,Isère,"Les Républicains",122-01,PA606888
"Route des Villes D'eaux Du Massif Central","M.Pierre JAL directeur
8, Avenue Anatole France
63130 Royat","Renforcement de l'image toutristique des villes d'eaux du massif central.  Lancement d'une étude afin de pouvoir mettte en place ""une stratégie de marque touristique""",5000.00,AUROI,Danielle,Puy-de-Dôme,Écologiste,134-21,PA608186
Routot,27350,"acquisition matériel informatique pour l'école",2000.00,MORIN,Hervé,Eure,"Union des démocrates et indépendants",122-01,PA2236
ROUVRES,ROUVRES,"rénovation école communale",3749.00,VALTER,Clotilde,Calvados,"Socialiste, républicain et citoyen",122-01,PA605606
ROUVRES-LA-CHÊTIVE,ROUVRES-LA-CHÊTIVE,"Enfouissement des réseaux",5000.00,FRANQUEVILLE,Christian,Vosges,"Socialiste, républicain et citoyen",122-01,PA1362
ROUVROY,,"Réfection de la toiture des salles associatives",10000.00,BERTRAND,Xavier,Aisne,"Les Républicains",122-01,PA267080
ROUXEVILLE,,"la mise en sécurité du chemin de la Bigne avec aménagement de la chaussée et des trottoirs",2000.00,GOSSELIN,Philippe,Manche,"Les Républicains",122-01,PA266797
ROY-BOISSY,,"acquisition d'une balayeuse",2447.00,DASSAULT,Olivier,Oise,"Les Républicains",122-01,PA998
"Royal Karaté Club",Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",219-01,PA1574
ROYAUCOURT,,"travaux d'installation d'une stèle commémorative",4000.00,DASSAULT,Olivier,Oise,"Les Républicains",122-01,PA998
ROZ-LANDRIEUX,,"l'installation d'une structure de jeux dans la cour de la nouvelle infrastructure ""école maternelle publique-cantine-garderie""",5000.00,LURTON,Gilles,Ille-et-Vilaine,"Les Républicains",122-01,PA606712
Roz-sur-Couesnon,35610,"restauration des cloches de l'église",4000.00,BENOIT,Thierry,Ille-et-Vilaine,"Union des démocrates et indépendants",122-01,PA332228
ROZERIEULLES,,"la rénovation de l'école primaire",15000.00,JACQUAT,Denis,Moselle,"Les Républicains",122-01,PA1699
ROZIER-EN-DONZY,,"l'équipement de la salle communale",6000.00,SALEN,Paul,Loire,"Les Républicains",122-01,PA2664
RPA,,Fonctionnement,1000.00,CALMETTE,Alain,Cantal,"Socialiste, républicain et citoyen",224-02,PA605643
"RPC FROISSY",,"travaux de rénovation du groupe scolaire Le Moustier",7000.00,DASSAULT,Olivier,Oise,"Les Républicains",122-01,PA998
RPH,"Saint André de Sangonis","Culture Radio locale",2000.00,ROIG,Frédéric,Hérault,"Socialiste, républicain et citoyen",313-10,PA606586
RUAGES,RUAGES,"restauration du lavoir",1000.00,PAUL,Christian,Nièvre,"Socialiste, républicain et citoyen",122-01,PA2338
RUBELLES,,"la sécurisation de la salle Emile Trélat",10000.00,MIGNON,Jean-Claude,Seine-et-Marne,"Les Républicains",122-01,PA2191
RUBESCOURT,,"la réalisation de travaux de bordurage et d'aménagement de trottoirs rue Saint Martin, de stabilisation des bas-côtés rue Basse et de zinguerie sur la partie basse du choeur de l'église",2500.00,GEST,Alain,Somme,"Les Républicains",122-01,PA1466
"Rubgy Club Bourguésan","Chez M. Mme MARION
12, allée G. Bernanos
26700 PIERRELATTE","Soutien aux activités sportives de l'association",5000.00,TERRASSE,Pascal,Ardèche,"Socialiste, républicain et citoyen",219-01,PA2799
"Rubgy Club Montreuillois","21, rue des Roches
93100 Montreuil",Rugby,2500.00,HAMMADI,Razzy,Seine-Saint-Denis,"Socialiste, républicain et citoyen",219-01,PA610291
Rubrouck,Rubrouck,"Accessibilité des locaux de l'accueil de loisirs",4000.00,ALLOSSERY,Jean-Pierre,Nord,"Socialiste, républicain et citoyen",122-01,PA607892
"Rue piétonne","12, rue Jean Gilles  Apt 190 31100 Toulouse","Manifestation Performance Ka -Valorisation du Gwo ka en France hexagonale",5000.00,JALTON,Éric,Guadeloupe,"Socialiste, républicain et citoyen",224-02,PA268039
RUEIL-LA-GADELIERE,,"la construction d'un nouveau bloc sanitaire conforme aux normes d'accessibilité à l'école primaire",10000.00,MARLEIX,Olivier,Eure-et-Loir,"Les Républicains",122-01,PA606098
RUELLE,RUELLE,"Restauration de la Fontaine François 1er",10000.00,PINVILLE,Martine,Charente,"Socialiste, républicain et citoyen",122-01,PA330981
"Rugbly Club du Vidourle","Route de Sommieres
30250 JUNAS","Achats maillots et equipements sportifs",2500.00,COLLARD,Gilbert,Gard,"Députés non inscrits",219-01,PA606212
"RUGBY A 13","4 RUE DES BARAQUES
34680 SAINT GEORGES D ORQUES",SPORT,1000.00,ASSAF,Christian,Hérault,"Socialiste, républicain et citoyen",219-01,PA606631
"Rugby Club Aubussonnais","Mr Rapinat
2 chemin de la chaumière
23200 BLESSAC",Fonctionnement,2000.00,VERGNIER,Michel,Creuse,"Socialiste, républicain et citoyen",219-01,PA2895
"Rugby Club Baulois","La Baule",Fonctionnement,2000.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",219-01,PA267728
"Rugby Club Brocéliande Oust","Monsieur Rémy LE LAUSQUE
Maison des Associations
rue de Narvik
56140 MALESTROIT","Achat de materiel",1500.00,MOLAC,Paul,Morbihan,Écologiste,219-01,PA607619
"RUGBY CLUB CHARTREUSE NERON","4, rue des Mails
38120 ST EGREVE","Soutenir le Remed Rugby Programme de soins de réhabilitation psychologique",2000.00,BROTTES,François,Isère,"Socialiste, républicain et citoyen",219-01,PA680
"Rugby Club Cherbourg Hague","12 rue de l'Orléannais - Cherbourg","Actions sportives jeunesse",2000.00,GOSSELIN-FLEURY,Geneviève,Manche,"Socialiste, républicain et citoyen",219-01,PA642836
"Rugby Club d'Annemasse",ANNEMASSE,"Achat de matériel",5000.00,DUBY-MULLER,Virginie,Haute-Savoie,"Les Républicains",219-01,PA608826
"Rugby Club d'Espalion","Rue Benoit Rouquayrol
12500 Espalion",Fonctionnement,1000.00,CENSI,Yves,Aveyron,"Les Républicains",219-01,PA267266
"Rugby Club de Belleville",Belleville-sur-Saône,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",219-01,PA2377
"Rugby Club de Chabeuil","Stade des Flandennes
26120 CHABEUIL","Achat de matériel",1000.00,MARITON,Hervé,Drôme,"Les Républicains",219-01,PA2083
"Rugby Club de Grane","Stade Alfred Desbrun
Quartier de Boissonas
26400 GRANE","Achat de matériel",1000.00,MARITON,Hervé,Drôme,"Les Républicains",219-01,PA2083
"Rugby Club de l'Arzon","M. Philippe REGOURD
Mairie
43810 ROCHE EN REGNIER",Fonctionnement,2000.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",163-01,PA267285
"Rugby club de L'Isle-Adam",L'Isle-Adam,"Achat d'équipements (maillots, shorts,…) pour l'école de rugby",1000.00,PONIATOWSKI,Axel,Val-d'Oise,"Les Républicains",219-01,PA267886
"Rugby Club de La Vallée du Gapeau","SOLLIES PONT",Fonctionnement,5000.00,VITEL,Philippe,Var,"Les Républicains",219-01,PA267506
"Rugby club de Loudun","Mairie de Loudun
1 rue Gambetta
CS 60065
86120 LOUDUN","Aide au développement des activités sportives en milieu rural",2050.00,MASSONNEAU,Véronique,Vienne,Écologiste,219-01,PA609816
"Rugby Club de Menton",Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",219-01,PA1574
"Rugby Club de Parempuyre","62 rue des chênes 33290 Parempuyre",Fonctionnement,2000.00,GOT,Pascale,Gironde,"Socialiste, républicain et citoyen",219-01,PA331973
"Rugby club de Seyssins","40 avenue Louis Armand
38180 SEYSSINS",Fonctionnement,2000.00,BATTISTEL,Marie-Noëlle,Isère,"Socialiste, républicain et citoyen",219-01,PA342415
"Rugby Club de Triel","88 bis Rue du Général Leclerc - 78570 Andresy",Fonctionnement,2000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",219-01,PA345897
"Rugby Club de Versailles",Versailles,Fonctionnement,3000.00,"DE MAZIÈRES",François,Yvelines,"Les Républicains",219-01,PA609345
"Rugby Club du Pays du Gier","5 rue Lucien Janin 42320 LA GRAND CROIX",Fonctionnement,2500.00,ROCHEBLOINE,François,Loire,"Union des démocrates et indépendants",219-01,PA2597
"Rugby Club du Pays Saint Jeannais","ST JEAN DE BOURNAY",Fonctionnement,5000.00,BARBIER,Jean-Pierre,Isère,"Les Républicains",163-01,PA606888
"Rugby Club du plateau Briard","Hôtel de Ville
94440 Villecresnes",Fonctionnement,2000.00,SCHWARTZENBERG,Roger-Gérard,Val-de-Marne,"Radical, républicain, démocrate et progressiste",219-01,PA2713
"Rugby club Faucigny Mont-Blanc",Sallanches,Fonctionnement,3000.00,DION,Sophie,Haute-Savoie,"Les Républicains",219-01,PA608851
"Rugby Club Forezien",Feurs,Fonctionnement,1000.00,SALEN,Paul,Loire,"Les Républicains",219-01,PA2664
"Rugby Club Hyères Carqueiranne La Crau",HYERES,Fonctionnement,15000.00,GIRAN,Jean-Pierre,Var,"Les Républicains",219-01,PA1483
"Rugby Club Jacou","Parc de Bocaud BP 2
34830 Jacou",Sport,3000.00,"DOMBRE COSTE",Fanny,Hérault,"Socialiste, républicain et citoyen",219-01,PA606573
"Rugby club Langeac",Langeac,Fonctionnement,1000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",219-01,PA607090
"Rugby club Les angles","BP 20307, 30403 Villeneuve lez Avignon","Fonctionnement de l'association, Rugby",3000.00,PRAT,Patrice,Gard,"Socialiste, républicain et citoyen",219-01,PA606225
"Rugby Club Mende Lozère",MENDE,Fonctionnement,2000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
"Rugby Club Montoirien et du Pays de Ronsard","Michel SERISIER 23 rue Jules Ladoumègue 41800 MONTOIRE",Fonctionnement,5000.00,LEROY,Maurice,Loir-et-Cher,"Union des démocrates et indépendants",219-01,PA1960
"RUGBY CLUB NIMOIS - Olivier BONNE","Stade Kaufman -
BP 4002
30001 NIMES CEDEX 1","INITIATION DES JEUNES EN DIFFICULTE AU RUGBY",5000.00,DUMAS,Françoise,Gard,"Socialiste, républicain et citoyen",219-01,PA606202
"Rugby Club Ordon",,Fonctionnement,2000.00,FORT,Marie-Louise,Yonne,"Les Républicains",163-01,PA336576
"Rugby club Paris 15","Mme BOUCHILLOU
104, rue Cambronne
75015 - Paris","Achat de matériels",1500.00,LAMOUR,Jean-François,Paris,"Les Républicains",219-01,PA230329
"Rugby Club Plages d'Orb",Valras-Plage,Fonctionnement,1000.00,ABOUD,Élie,Hérault,"Les Républicains",219-01,PA267457
"Rugby Club Planais","PLAN D'ORGON
(13750)",Fonctionnement,2000.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",219-01,PA330788
"Rugby Club Sénonais",,"Achat de nouveaux équipements",2500.00,FORT,Marie-Louise,Yonne,"Les Républicains",219-01,PA336576
"Rugby Club Thonon Chablais Léman","M. Jean-Luc LUZEGE
Président Maison des Sports
Avenue de la Grangette
74200 - Thonon les Bains","Transport des enfants de l'école de rugby",3000.00,FRANCINA,Marc,Haute-Savoie,"Les Républicains",163-01,PA267532
"Rugby Club Tricastin","ATOM’SPORTS
Etablissement AREVA NC Pierrelatte- BP 16
26701 Pierrelatte CEDEX",Fonctionnement,2000.00,REYNIER,Franck,Drôme,"Union des démocrates et indépendants",219-01,PA331442
"Rugby Club Valloons de la Tour","La Tour du Pin",Fonctionnement,1000.00,MOYNE-BRESSAND,Alain,Isère,"Les Républicains",219-01,PA2250
"Rugby Cluc Pays Saint-Yrieix","La Seynie -
87500 SAINT-YRIEIX",Sports,5000.00,BOISSERIE,Daniel,Haute-Vienne,"Socialiste, républicain et citoyen",219-01,PA560
"Rugby Corneilhan XV",Corneilhan,Fonctionnement,1000.00,ABOUD,Élie,Hérault,"Les Républicains",219-01,PA267457
"RUGBY CULTURE ET PASSION","104, Av Colonel Teyssier
ALBI","Festival de rugby en mars 2015",4000.00,VALAX,Jacques,Tarn,"Socialiste, républicain et citoyen",219-01,PA336112
"Rugby de Monteson Chatou (RCMC",Montesson,Fonctionnement,4000.00,MYARD,Jacques,Yvelines,"Les Républicains",219-01,PA2257
"Rugby Gien",Gien,Fonctionnement,1000.00,"DE GANAY",Claude,Loiret,"Les Républicains",219-01,PA267735
"Rugby MLSGP",Maisons-Laffitte,Fonctionnement,10000.00,MYARD,Jacques,Yvelines,"Les Républicains",219-01,PA2257
"Rugby Olympique de Grasse",Grasse,Fonctionnement,1500.00,TABAROT,Michèle,Alpes-Maritimes,"Les Républicains",219-01,PA267794
"Rugby-club de Chilly section feminine","91380 Chilly-Mazarin","Développement du rugby féminin et intervention dans les Ecoles et centres de loisirs",10000.00,LAMY,François,Essonne,"Socialiste, républicain et citoyen",219-01,PA1816
RUILLE-FROID-FONDS,,"la construction de sanitaires PMR et la réhabilitation d'une salle annexe à la mairie",10000.00,CHEVROLLIER,Guillaume,Mayenne,"Les Républicains",122-01,PA607489
RUMAUCOURT,"50 rue Joffre 62860 RUMAUCOURT","Rénovation des vitraux de l'église",4000.00,COTTEL,Jean-Jacques,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA344114
Rumegies,"HdV 5 rue Molière 59 226","Réhabilitation du presbytère pour transférer la mairie",15000.00,BOCQUET,Alain,Nord,"Gauche démocrate et républicaine",122-01,PA551
"Rumilly en Cis",59281,voirie,5000.00,VILLAIN,François-Xavier,Nord,"Union des démocrates et indépendants",122-01,PA267765
RUMINGHEM,RUMINGHEM,"Réfection de toiture de l'école maternelle",17475.00,CAPET,Yann,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA608098
RUMONT,,"la réfection de la charpente et de la couverture du choeur de l'église Saint-Denis, de la toiture de la nef et de la rive adossée entre la nef et le choeur",2850.00,LACROUTE,Valérie,Seine-et-Marne,"Les Républicains",122-01,PA609245
"Run Action","Ancienne Ecole Damase Legros
Rue de la gare
97490 Sainte-Clotilde","épicerie coopérative",25000.00,ORPHÉ,Monique,Réunion,"Socialiste, républicain et citoyen",123-04,PA610729
"Runnin Club  de Clermont -Ferrand","Présidente Karine SASSE
73, Avenue Marx Dormoy
63000 Clermont-Ferrand","Organisation de la manifestation sportive la clermontoise au bénéfice  de la lutte contre le cancer",5000.00,AUROI,Danielle,Puy-de-Dôme,Écologiste,219-01,PA608186
RURALIA,Gemenos,"Organisation manifestation rurale annuelle",4000.00,DEFLESSELLES,Bernard,Bouches-du-Rhône,"Les Républicains",154-14,PA1029
RUTALI,,"la réfection de la route d'accès au stade",4865.00,GANDOLFI-SCHEIT,Sauveur,Haute-Corse,"Les Républicains",122-01,PA331146
"S Eau Environnement de Tullins","Paulette QUEYRON, Présidente                                    BP  6 -  Tizin                                                   38210 TULLINS","Semaine de sensibilisation aux changements climatiques et au développement durable",5000.00,BONNETON,Michèle,Isère,Écologiste,174-05,PA606910
"S. L. Constantia","68, rue du Général Offenstein
67100 Strasbourg","Aide au développement et au fonctionnement du club",10000.00,BIES,Philippe,Bas-Rhin,"Socialiste, républicain et citoyen",219-01,PA608363
"S.A.R.T.H. 72 (Service d'Aides Rurales par des Travailleurs Handicapés)","10 rue Victor Croyeau
72250 PARIGNE L'EVEQUE","Achat d'un véhicule",3000.00,KARAMANLI,Marietta,Sarthe,"Socialiste, républicain et citoyen",157-04,PA335054
S.N.S.M,Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",161-13,PA1574
"S.O.S COCOON SENIOR Mme NEY","34, rue du routoutou volga plage
97200 Fort-de-France","Service à la personne - social",3000.00,LETCHIMY,Serge,Martinique,"Socialiste, républicain et citoyen",123-04,PA337483
"SA XV","5 Rue du Stade, 16000 ANGOULEME","Projet sportif",7000.00,PINVILLE,Martine,Charente,"Socialiste, républicain et citoyen",219-01,PA330981
SAACY-SUR-MARNE,,"la rénovation de la salle de classe de CM2 de l'école",3294.00,RIESTER,Franck,Seine-et-Marne,"Les Républicains",122-01,PA335758
SABBE,"Serge FREJEFON
2, rue Fontanié
47240 Bon Encontre","Vie associative locale",4000.00,LOUSTEAU,Lucette,Lot-et-Garonne,"Socialiste, républicain et citoyen",219-01,PA607283
"Sablé Football Club","Route de Precigne
72300 Sablé-sur-Sarthe","Organisation tournoi foot féminin",1000.00,TOLMONT,Sylvie,Sarthe,"Socialiste, républicain et citoyen",219-01,PA608741
SABRES,"Gérard MOREAU                                    Place de la Mairie                               40630 SABRES","Rénovation salle du foyer des jeunes",3000.00,DELAUNAY,Florence,Landes,"Socialiste, républicain et citoyen",122-01,PA342539
Saché,Saché,"Extension de la Mairie",3400.00,BAUMEL,Laurent,Indre-et-Loire,"Socialiste, républicain et citoyen",122-01,PA606793
Saclay,Saclay,"Aménagement d'une aire de jeux pour enfants",4000.00,OLIVIER,Maud,Essonne,"Socialiste, républicain et citoyen",122-01,PA609983
"Sacrées Journées","8, quai Saint-Thomas
67000 STRASBOURG","Organisation 3ème édition du Festival ""Sacrées Journées"" (musiques de différentes cultures)",5000.00,JUNG,Armand,Bas-Rhin,"Socialiste, républicain et citoyen",224-02,PA1748
SACY-LE-GRAND,,"l'acquisition d'un tracteur pour les services techniques",4000.00,COURTIAL,Édouard,Oise,"Les Républicains",122-01,PA267743
SAFFAIS,,"la réalisation de travaux de voirie rue des Mal-Contant",3000.00,LAMBLIN,Jacques,Meurthe-et-Moselle,"Les Républicains",122-01,PA267551
"SAGC Handball CESTAS","Complexe du Bouzet
Chemin de Canéjan
33610 CESTAS",Sport,4500.00,ROUSSET,Alain,Gironde,"Socialiste, républicain et citoyen",219-01,PA331990
"SAGC Tennis de table Cestas","Complexe du Bouzet
Chemin de Canéjan
33610 CESTAS",Sport,1500.00,ROUSSET,Alain,Gironde,"Socialiste, républicain et citoyen",219-01,PA331990
Sagelat,Sagelat,"Travaux d'intérêt local",4500.00,PEIRO,Germinal,Dordogne,"Socialiste, républicain et citoyen",122-01,PA2343
Saignes,Saignes,"Travaux église",5000.00,LAUNAY,Jean,Lot,"Socialiste, républicain et citoyen",122-01,PA1844
SAIL-LES-BAINS,,"la réalisation de travaux de drainage, de décompactage et de sablage du terrain de sport",5000.00,NICOLIN,Yves,Loire,"Les Républicains",122-01,PA2277
SAILLY-ACHATEL,,"l'acquisition de matériel informatique pour la mairie",700.00,JACQUAT,Denis,Moselle,"Les Républicains",122-01,PA1699
SAILLY-ACHATEL,,"la restauration de l'église",5000.00,JACQUAT,Denis,Moselle,"Les Républicains",122-01,PA1699
SAILLY-LEZ-LANNOY,,"la réfection de la couverture de la salle des sports",5000.00,LAZARO,Thierry,Nord,"Les Républicains",122-01,PA1857
"SAINS MORAINVILLERS",,"acquisition de matériel pour nouvelle mairie",3500.00,DASSAULT,Olivier,Oise,"Les Républicains",122-01,PA998
Sains-en-Gohelle,Sains-en-Gohelle,"réalisation micro crèche",15000.00,JANQUIN,Serge,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA1710
"Saint Aignan de Gand Lieu","Saint Aignan de Gand Lieu","Construction d'une nouvelle maison des jeunes",25000.00,RAIMBOURG,Dominique,Loire-Atlantique,"Socialiste, républicain et citoyen",122-01,PA2503
"SAINT ALAUZIE","SAINT ALAUZIE","Aménagement du bourg",8000.00,ORLIAC,Dominique,Lot,"Radical, républicain, démocrate et progressiste",122-01,PA332950
"Saint Alban d'Ay","Saint Alban d'Ay","Aménagement terrasse et parking restaurant communal",2000.00,DUSSOPT,Olivier,Ardèche,"Socialiste, républicain et citoyen",122-01,PA330357
"SAINT AMAND MAGNAZEIX","SAINT AMAND MAGNAZEIX","Mise en accessibilité de bâtiments communaux",7000.00,BEAUBATIE,Catherine,Haute-Vienne,"Socialiste, républicain et citoyen",122-01,PA609845
"Saint Amant Roche Savine","HdV - 4 place Antoine Pourtier - 63 890","Travaux de voirie communal",14000.00,CHASSAIGNE,André,Puy-de-Dôme,"Gauche démocrate et républicaine",122-01,PA267306
"Saint André d'Olérargues","Saint André d'Olérargues","installation d'un défibrillateur sur la place du village et acquisition de divers équipements pour la salle polyvalente",1500.00,VERDIER,Fabrice,Gard,"Socialiste, républicain et citoyen",122-01,PA606230
"SAINT ANDRE FARIVILLERS",,"achat d'un photocopieur",1200.00,DASSAULT,Olivier,Oise,"Les Républicains",122-01,PA998
"Saint André VTT","1964 chemin des Arnauds           06730 ST ANDRÉ DE LA ROCHE",Fonctionnement,1000.00,SALLES,Rudy,Alpes-Maritimes,"Union des démocrates et indépendants",219-01,PA2667
"SAINT ANGEL","SAINT ANGEL","remplacement de la chaudière de l'école",7100.00,"PIRES BEAUNE",Christine,Puy-de-Dôme,"Socialiste, républicain et citoyen",122-01,PA608172
"Saint Astier Triathlon","2 rue Jules Ferry
24110 Saint Astier","achat d'un minibus",8000.00,DEGUILHEM,Pascal,Dordogne,"Socialiste, républicain et citoyen",219-01,PA1032
"Saint Auban d'hier et d'aujourd'hui","Saint Auban",Fonctionnement,1000.00,TABAROT,Michèle,Alpes-Maritimes,"Les Républicains",224-02,PA267794
"Saint Aubin d'Ecrosville","Saint Aubin d'Ecrosville","Travaux de voirie",10000.00,DESTANS,Jean-Louis,Eure,"Socialiste, républicain et citoyen",122-01,PA606040
"Saint Aubin de Médoc","Saint Aubin de Médoc","Saint Aubin de Médoc",10000.00,RÉCALDE,Marie,Gironde,"Socialiste, républicain et citoyen",122-01,PA341981
"Saint Aubin des Grois",,"Installation d'un abribus",1900.00,LOUWAGIE,Véronique,Orne,"Les Républicains",122-01,PA608016
"Saint Aubin des Grois",,"Rénovation de la voûte intérieure de l'église",3000.00,LOUWAGIE,Véronique,Orne,"Les Républicains",122-01,PA608016
"Saint Aunix","Saint Aunix","Travaux d'accessibilité",2000.00,MARTIN,Philippe,Gers,"Socialiste, républicain et citoyen",122-01,PA267278
"SAINT AVIT","SAINT AVIT","Crépis des mûrs de l'église",1500.00,REYNAUD,Marie-Line,Charente,"Socialiste, républicain et citoyen",122-01,PA2549
"Saint Basile","Saint Basile","Travaux de protection d'incendies",2500.00,DUSSOPT,Olivier,Ardèche,"Socialiste, républicain et citoyen",122-01,PA330357
"Saint Bonnet la Rivière","Saint Bonnet la Rivière","Travaux de voirie route de la forêt",10000.00,NAUCHE,Philippe,Corrèze,"Socialiste, républicain et citoyen",122-01,PA2265
"SAINT BONNET PRES  RIOM","SAINT BONNET PRES  RIOM","rénovation de la salle polyvalente",3000.00,"PIRES BEAUNE",Christine,Puy-de-Dôme,"Socialiste, républicain et citoyen",122-01,PA608172
"Saint Chamond Foot","Complexe Antoine Vincendon - 37 Ter route du Coin 42400 SAINT CHAMOND",Fonctionnement,2000.00,ROCHEBLOINE,François,Loire,"Union des démocrates et indépendants",219-01,PA2597
"Saint Chamond Moto Sport","chez M. Gilles FANGET 21 allée des Grandes Terres 42400 SAINT CHAMOND",Fonctionnement,2000.00,ROCHEBLOINE,François,Loire,"Union des démocrates et indépendants",219-01,PA2597
"Saint Charles de Percy","Saint Charles de Percy","Installation de réserves incendie",5000.00,TOURRET,Alain,Calvados,"Radical, républicain, démocrate et progressiste",122-01,PA2828
"Saint Chély Athlétisme","SAINT CHELY D'APCHER",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
"Saint Chély Cyclisme","SAINT CHELY D'APCHER",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
"Saint Christophe du Bois","Saint Christophe du Bois","Réalisation de cellules commerciales",10490.00,BOURDOULEIX,Gilles,Maine-et-Loire,"Députés non inscrits",122-01,PA267433
"SAINT CLAIR","SAINT CLAIR","Rénovation ancienne école",2000.00,ORLIAC,Dominique,Lot,"Radical, républicain, démocrate et progressiste",122-01,PA332950
"SAINT CLEMENT DE REGNAT","SAINT CLEMENT DE REGNAT","voirie communale",9000.00,"PIRES BEAUNE",Christine,Puy-de-Dôme,"Socialiste, républicain et citoyen",122-01,PA608172
"SAINT COME ET MARUEJOLS","SAINT COME ET MARUEJOLS","Réhabilitation du mur du cimetière de Maruéjols",5000.00,DUMAS,William,Gard,"Socialiste, républicain et citoyen",122-01,PA1193
"Saint Cyr la Roche","Saint Cyr la Roche","Travaux de voirie (Le Mas - Roumegieras)",10000.00,NAUCHE,Philippe,Corrèze,"Socialiste, républicain et citoyen",122-01,PA2265
"Saint Cyr Téléthon","SAINT CYR SUR LE RHONE",Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",204-14,PA267591
"Saint d'Arlanc","HdV - Le Bourg - 63 220","Travaux de voirie communal",4000.00,CHASSAIGNE,André,Puy-de-Dôme,"Gauche démocrate et républicaine",122-01,PA267306
"SAINT DENIS","SAINT DENIS","Réalisation d'une école maternelle",15000.00,DUPRÉ,Jean-Paul,Aude,"Socialiste, républicain et citoyen",122-01,PA1208
"SAINT DOS","SAINT DOS","Aménagement RD 28",9000.00,HABIB,David,Pyrénées-Atlantiques,"Socialiste, républicain et citoyen",122-01,PA1592
"Saint Elier","Saint Elier",Abri-bus,2000.00,DESTANS,Jean-Louis,Eure,"Socialiste, républicain et citoyen",122-01,PA606040
"SAINT ELOI","SAINT ELOI","Mise aux normes d'accessibilité de la mairie",13000.00,CARRILLON-COUVREUR,Martine,Nièvre,"Socialiste, républicain et citoyen",122-01,PA267188
"Saint Eloi de Fourques","Saint Eloi de Fourques","Travaux gestion énergie + mur en bauge",2896.00,DESTANS,Jean-Louis,Eure,"Socialiste, républicain et citoyen",122-01,PA606040
"SAINT ELOY LES MINES","SAINT ELOY LES MINES","restauration des peintures murales intérieures de l’église du vieux-bourg",9000.00,"PIRES BEAUNE",Christine,Puy-de-Dôme,"Socialiste, républicain et citoyen",122-01,PA608172
"Saint Epain","Saint Epain","Travaux de voieries ",3400.00,BAUMEL,Laurent,Indre-et-Loire,"Socialiste, républicain et citoyen",122-01,PA606793
"SAINT ERBLON","SAINT ERBLON","Travaux de mise aux normes à destination
des personnes à mobilité réduite",5000.00,CHAPDELAINE,Marie-Anne,Ille-et-Vilaine,"Socialiste, républicain et citoyen",122-01,PA606665
"Saint Firmin","Saint Firmin","acquisition d'un engin de déneigement",18600.00,GIRAUD,Joël,Hautes-Alpes,"Radical, républicain, démocrate et progressiste",122-01,PA267336
"SAINT GAL SUR SIOULE","SAINT GAL SUR SIOULE","construction de sanitaires extérieursà la salle polyvalente",6000.00,"PIRES BEAUNE",Christine,Puy-de-Dôme,"Socialiste, républicain et citoyen",122-01,PA608172
